# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
cuicanzuanshi	璀璨原钻	zh-CN	
cuicanzuankuai	璀璨原钻块	zh-CN	
cuicanzuanduanpian	璀璨原钻断片	zh-CN	
cuicanzuansuixie	璀璨原钻碎屑	zh-CN	
ranyuannao	燃愿玛瑙	zh-CN	
ranyuannokuai	燃愿玛瑙块	zh-CN	
ranyuannaoduanpian	燃愿玛瑙断片	zh-CN	
ranyuannaosuixie	燃愿玛瑙碎屑	zh-CN	
aixubingyu	哀叙冰玉	zh-CN	
aixubingyukuai	哀叙冰玉块	zh-CN	
aixubingyuduanpian	哀叙冰玉断片	zh-CN	
aixubingyusuixie	哀叙冰玉碎屑	zh-CN	
jianlaohuangyu	坚牢黄玉	zh-CN	
jianlaohuangyukuai	坚牢黄玉块	zh-CN	
jianlaohuangyuduanpian	坚牢黄玉断片	zh-CN	
jianlaohuangyusuixie	坚牢黄玉碎屑	zh-CN	
dijingqingjin	涤净青金	zh-CN	
dijingqingjinkuai	涤净青金块	zh-CN	
dijingqingjinduanpian	涤净青金断片	zh-CN	
dijingqingjinsuixie	涤净青金碎屑	zh-CN	
zuishengzijin	最胜紫晶	zh-CN	
zuishengzijingkuai	最胜紫晶块	zh-CN	
zuishengzijingduanpian	最胜紫晶断片	zh-CN	
zuishengzijingsuixie	最胜紫晶碎屑	zh-CN	
zizaisongshi	自在松石	zh-CN	
zizaisongshikuai	自在松石块	zh-CN	
zizaisongshiduanpian	自在松石断片	zh-CN	
zizaisongshisuixie	自在松石碎屑	zh-CN	
dongfengzhizhua	东风之爪	zh-CN	
dongfengzhiling	东风之翎	zh-CN	
dongfengdetuxi	东风的吐息	zh-CN	
beifengzhiwei	北风之尾	zh-CN	
beifengzhihuan	北风之环	zh-CN	
beifengdehunxia	北风的魂匣	zh-CN	
linfengbenlangdehuaixiang	凛风奔狼的怀乡	zh-CN	
shiyadoushidelixiang	狮牙斗士的理想	zh-CN	
gaotaguwangdesuimeng	高塔孤王的碎梦	zh-CN	
qiheiyuntiedeyikuai	漆黑陨铁的一块	zh-CN	
guyunhanlindeshenti	孤云寒林的神体	zh-CN	
wuhaiyunjiandezhuanhuan	雾海云间的转还	zh-CN	
zhishizhimian	智识之冕	zh-CN	
tuntianzhijingzhijiao	吞天之鲸·只角	zh-CN	
mozhizhirencanpian	魔王之刃·残片	zh-CN	
wulianzhihunguying	武炼之魂·孤影	zh-CN	
longwangzhimian	龙王之冕	zh-CN	
xueyuzhizhi	血玉之枝	zh-CN	
liujinzhilin	鎏金之鳞	zh-CN	
yuanhaiyididejinzhi	远海夷地的金枝	zh-CN	
mingshenyulingdeyongwu	鸣神御灵的勇武	zh-CN	
jinxijuihuazhiren	今昔剧画之鬼人	zh-CN	
huijinzhixin	灰烬之心	zh-CN	
yuhuozhidie	狱火之蝶	zh-CN	
ronghuizhike	熔毁之刻	zh-CN	
wanjiezhenyiyi	万劫之真意	zh-CN	
huoshenzhixilei	祸神之禊泪	zh-CN	
xiongjiangzhishouyan	凶将之手眼	zh-CN	
shengzhangbifei	生长碧翡	zh-CN	
milinjuanludejinfu	谧林涓露的金符	zh-CN	
lvzhouhuayuandezhendi	绿洲花园的真谛	zh-CN	
lieriweiquandejiuri	烈日威权的旧日	zh-CN	
kuileidexuansi	傀儡的悬丝	zh-CN	
wuxindeyuanjing	无心的渊镜	zh-CN	
kongxingdexuling	空行的虚铃	zh-CN	
shengzhangtiandizhijuecao	生长天地之蕨草	zh-CN	
yuanchulvzhouzhichuzhan	原初绿洲之初绽	zh-CN	
gengushuhaizhiyishun	亘古树海之一瞬	zh-CN	
