y# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
weijianyequ	帷间夜曲	zh-CN	
heishi	黑蚀	zh-CN	
limingpoxiaozhishi	黎明破晓之史	zh-CN	
zhenyumixia	真语秘匣	zh-CN	
fangyetianjing	纺夜天镜	zh-CN	
xueranhuangcheng	血染荒城	zh-CN	
zhililunguang	支离轮光	zh-CN	
cangyao	苍耀	zh-CN	
xiangyunzouzhe	香韵奏者	zh-CN	
yicaixinnian	溢彩心念	zh-CN	
qinzhengyuechuqing	寝正月初晴	zh-CN	
fenyaotianyang	焚曜千阳	zh-CN	
jixingzhezhiwang	祭星者之望	zh-CN	
xingjiuchiyu	星鹫赤羽	zh-CN	
yanfengxunge	岩峰巡歌	zh-CN	
shanwangchangya	山王长牙	zh-CN	
chonglangshiguang	冲浪时光	zh-CN	
roudengwange	柔灯挽歌	zh-CN	
shezui	赦罪	zh-CN	
baiyuxinxian	白雨心弦	zh-CN	
chiyuezhixing	赤月之形	zh-CN	
youleyulianqie	有乐御簾切	zh-CN	
hemingyuyin	鹤鸣余音	zh-CN	
caiduan	裁断	zh-CN	
jingshuiliuyongzhihui	静水流涌之辉	zh-CN	
wanshilongyongdadian	万世流涌大典	zh-CN	
jinliujiandu	金流监督	zh-CN	
zuichudeamoshu	最初的大魔术	zh-CN	
biluozhilong	碧落之珑	zh-CN	
weihainbiao	苇海信标	zh-CN	
caiyecguang	裁叶萃光	zh-CN	
tulaiduladehuiyi	图莱杜拉的回忆	zh-CN	
qianyefumeng	千夜浮梦	zh-CN	
shengxianzhiyao	圣显之钥	zh-CN	
chishazhizhang	赤沙之杖	zh-CN	
lierenzhijing	猎人之径	zh-CN	
ruoshui	若水	zh-CN	
boluanyuebaijingjin	波乱月白经津	zh-CN	
shenyuezhizhenyi	神乐之真意	zh-CN	
xizai	息灾	zh-CN	
chijiaoshikuichu	赤角石溃杵	zh-CN	
dongjibaixing	冬极白星	zh-CN	
bumieyuehua	不灭月华	zh-CN	
ticaozhidaoguang	薙草之稻光	zh-CN	
wuqiezhihuiguang	雾切之回光	zh-CN	
feileizhixianzhen	飞雷之弦振	zh-CN	
cangguziyouzhishi	苍古自由之誓	zh-CN	
songlaixiangqizhishi	松籁响起之时	zh-CN	
zhongmojietanzhishi	终末嗟叹之诗	zh-CN	
panyanjielv	磐岩结绿	zh-CN	
humozhizhang	护摩之杖	zh-CN	
zhuofengzhiren	斫峰之刃	zh-CN	
wugongzhijian	无工之剑	zh-CN	
chenshizhisuo	尘世之锁	zh-CN	
guanhongzhishuo	贯虹之槊	zh-CN	
fengyingjian	风鹰剑	zh-CN	
tiankongzhiren	天空之刃	zh-CN	
tiankongzhiao	天空之傲	zh-CN	
langdemolu	狼的末路	zh-CN	
amoshigong	阿莫斯之弓	zh-CN	
tiankongzhiyi	天空之翼	zh-CN	
tiankongzhijuan	天空之卷	zh-CN	
sifengyuandian	四风原典	zh-CN	
hepuyuan	和璞鸢	zh-CN	
tiankongzhiji	天空之脊	zh-CN	
hongshediyuxian	虹蛇的雨弦	zh-CN	
shuangchen	霜辰	zh-CN	
shengjizhezhihuizhang	圣祭者的辉杖	zh-CN	
miyinchuisao	谧音吹哨	zh-CN	
zhiyuezhezhishuse	织月者的曙色	zh-CN	
wannengyaoshi	万能钥匙	zh-CN	
luowanggouzhen	罗网勾针	zh-CN	
tianguangdefangqin	天光的纺琴	zh-CN	
wusuiyedeng	乌髓孑灯	zh-CN	
juejinzhiqiao	掘金之锹	zh-CN	
shihuizhurong	拾慧铸熔	zh-CN	
lengjibengyin	冷寂迸音	zh-CN	
qiezutingyuduo	且住亭御咄	zh-CN	
eshuizhihuo	厄水之祸	zh-CN	
zhuihuazhiling	缀花之翎	zh-CN	
chenglangdehuixuan	乘浪的回旋	zh-CN	
mijianggu	弥坚骨	zh-CN	
shuoguogou	硕果钩	zh-CN	
zhenshanzhiding	镇山之钉	zh-CN	
xisuizhidi	息燧之笛	zh-CN	
handizhe	撼地者	zh-CN	
suilian	碎链	zh-CN	
mumianzhihuan	木棉之环	zh-CN	
cangwenjiaobei	苍纹角杯	zh-CN	
hongdexingji	虹的行迹	zh-CN	
zhuyun	筑云	zh-CN	
shazhongweixianeduida	沙中伟贤的对答	zh-CN	
jiujibawangchaojimojian	「究极霸王超级魔剑」	zh-CN	
shuixianshizhijian	水仙十字之剑	zh-CN	
chuanwuchangjian	船坞长剑	zh-CN	
bianxiedonglijv	便携动力锯	zh-CN	
cejugui	测距规	zh-CN	
wuyinweilanzhige	无垠蔚蓝之歌	zh-CN	
kantanzuanji	勘探钻机	zh-CN	
langya	狼牙	zh-CN	
huihedushou	灰河渡手	zh-CN	
