# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
gelunbiya	哥伦比娅	zh-CN	
dulin	杜林	zh-CN	
yakeda	雅珂达	zh-CN	
naifuer	奈芙尔	zh-CN	
qiou	奇偶	zh-CN	
feilinsi	菲林斯	zh-CN	
lawuma	菈乌玛	zh-CN	
ainuo	爱诺	zh-CN	
yiniefu	伊涅芙	zh-CN	
sikeke	丝柯克	zh-CN	
taliya	塔利雅	zh-CN	
aikafei	爱可菲	zh-CN	
yifa	伊法	zh-CN	
waleisha	瓦雷莎	zh-CN	
yianshan	伊安珊	zh-CN	
mengjianyueruixi	梦见月瑞希	zh-CN	
lanyan	蓝砚	zh-CN	
mawetian	玛薇卡	zh-CN	
qiteliya	茜特菈莉	zh-CN	
qiaska	恰斯卡	zh-CN	
ouluolun	欧洛伦	zh-CN	
xinuoning	希诺宁	zh-CN	
jiniqi	基尼奇	zh-CN	
malani	玛拉妮	zh-CN	
kaqina	卡齐娜	zh-CN	
aimeilieai	艾梅莉埃	zh-CN	
xigewen	希格雯	zh-CN	
keluolinde	克洛琳德	zh-CN	
saisuosi	赛索斯	zh-CN	
aleiqinuo	阿蕾奇诺	zh-CN	
qianzhi	千织	zh-CN	
xianyun	闲云	zh-CN	
jiaming	嘉明	zh-CN	
xiawolei	夏沃蕾	zh-CN	
naweiya	娜维娅	zh-CN	
funingna	芙宁娜	zh-CN	
xialuodi	夏洛蒂	zh-CN	
laiousili	莱欧斯利	zh-CN	
naweilaite	那维莱特	zh-CN	
feimini	菲米尼	zh-CN	
linni	林尼	zh-CN	
linnite	琳妮特	zh-CN	
qiliangliang	绮良良	zh-CN	
baishu	白术	zh-CN	
kawei	卡维	zh-CN	
mika	米卡	zh-CN	
dixiya	迪希雅	zh-CN	
aierhaisen	艾尔海森	zh-CN	
yaoyao	瑶瑶	zh-CN	
liulangzhe	流浪者	zh-CN	
falushan	珐露珊	zh-CN	
laiyila	莱依拉	zh-CN	
naxida	纳西妲	zh-CN	
nilu	妮露	zh-CN	
sainuo	赛诺	zh-CN	
kandisi	坎蒂丝	zh-CN	
duoli	多莉	zh-CN	
tinali	提纳里	zh-CN	
kelai	柯莱	zh-CN	
luyeyuanpingcang	鹿野院平藏	zh-CN	
jiuqiren	久岐忍	zh-CN	
yelan	夜兰	zh-CN	
shenlilingren	神里绫人	zh-CN	
bazhongshenzi	八重神子	zh-CN	
shenhe	申鹤	zh-CN	
yunjin	云堇	zh-CN	
huanglongyidou	荒泷一斗	zh-CN	
wulang	五郎	zh-CN	
tuoma	托马	zh-CN	
shanhugongxinhai	珊瑚宫心海	zh-CN	
ailuoyi	埃洛伊	zh-CN	
leidianjiangjun	雷电将军	zh-CN	
jiutiaoshaluo	九条裟罗	zh-CN	
xiaogong	宵宫	zh-CN	
zaoyou	早柚	zh-CN	
shenlilinghua	神里绫华	zh-CN	
fengyuanwanye	枫原万叶	zh-CN	
youla	优菈	zh-CN	
yanfei	烟绯	zh-CN	
luoshaliya	罗莎莉亚	zh-CN	
hutao	胡桃	zh-CN	
xiao	魈	zh-CN	
ganyu	甘雨	zh-CN	
abeiduo	阿贝多	zh-CN	
zhongli	钟离	zh-CN	
xinyan	辛焱	zh-CN	
dadaliya	达达利亚	zh-CN	
diaona	迪奥娜	zh-CN	
keli	可莉	zh-CN	
wendi	温迪	zh-CN	
keqing	刻晴	zh-CN	
qiqi	七七	zh-CN	
diluke	迪卢克	zh-CN	
qin	琴	zh-CN	
mona	莫娜	zh-CN	
babala	芭芭拉	zh-CN	
chongyun	重云	zh-CN	
beidou	北斗	zh-CN	
xiangling	香菱	zh-CN	
xingqiu	行秋	zh-CN	
leize	雷泽	zh-CN	
ningguang	凝光	zh-CN	
anbo	安柏	zh-CN	
feixieer	菲谢尔	zh-CN	
shatang	砂糖	zh-CN	
lisha	丽莎	zh-CN	
nuoaier	诺艾尔	zh-CN	
kaiya	凯亚	zh-CN	
bannite	班尼特	zh-CN	
lvxingzhe	旅行者	zh-CN	
lvxingzhefeng	旅行者/风	zh-CN	
lvxingzheyan	旅行者/岩	zh-CN	
lvxingzhelei	旅行者/雷	zh-CN	
lvxingzhecao	旅行者/草	zh-CN	
lvxingzheshui	旅行者/水	zh-CN	
lvxingzhehuo	旅行者/火	zh-CN	
