# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
keli	可莉	zh-CN	
xiaotao	可莉	zh-CN	
xingqiu	行秋	zh-CN	
shuigongzi	行秋	zh-CN	
xiangling	香菱	zh-CN	
huoguo	香菱	zh-CN	
bannite	班尼特	zh-CN	
banni	班尼特	zh-CN	
feixieer	菲谢尔	zh-CN	
huangnv	菲谢尔	zh-CN	
aizei	菲谢尔	zh-CN	
babala	芭芭拉	zh-CN	
shuidian	芭芭拉	zh-CN	
nuoaier	诺艾尔	zh-CN	
nvpu	诺艾尔	zh-CN	
zhongli	钟离	zh-CN	
yanwang	钟离	zh-CN	
dijun	钟离	zh-CN	
mo	钟离	zh-CN	
qin	琴	zh-CN	
tuanzhang	琴	zh-CN	
diluke	迪卢克	zh-CN	
ye	迪卢克	zh-CN	
laoye	迪卢克	zh-CN	
wendi	温迪	zh-CN	
fengshen	温迪	zh-CN	
babatuosi	温迪	zh-CN	
xia	魈	zh-CN	
jiangmo	魈	zh-CN	
ye	魈	zh-CN	
ningguang	凝光	zh-CN	
tianquan	凝光	zh-CN	
jinni	凝光	zh-CN	
keqing	刻晴	zh-CN	
yuke	刻晴	zh-CN	
muna	莫娜	zh-CN	
shuizh	莫娜	zh-CN	
qiqi	七七	zh-CN	
jiangshi	七七	zh-CN	
xiaogong	宵宫	zh-CN	
huahuo	宵宫	zh-CN	
tianye	枫原万叶	zh-CN	
wanye	枫原万叶	zh-CN	
yege	枫原万叶	zh-CN	
leidianjiangjun	雷电将军	zh-CN	
yings	雷电将军	zh-CN	
dianjun	雷电将军	zh-CN	
shenzi	八重神子	zh-CN	
hugong	八重神子	zh-CN	
shenlilinghua	神里绫华	zh-CN	
linghua	神里绫华	zh-CN	
baishen	神里绫华	zh-CN	
shenlilingren	神里绫人	zh-CN	
lingren	神里绫人	zh-CN	
shezhang	神里绫人	zh-CN	
yula	优菈	zh-CN	
langjian	优菈	zh-CN	
jiejie	优菈	zh-CN	
abidu	阿贝多	zh-CN	
hua	阿贝多	zh-CN	
ganyu	甘雨	zh-CN	
qilin	甘雨	zh-CN	
bangban	甘雨	zh-CN	
hutao	胡桃	zh-CN	
tangzh	胡桃	zh-CN	
tangzhuren	胡桃	zh-CN	
zhongyun	重云	zh-CN	
bingwu	重云	zh-CN	
beidou	北斗	zh-CN	
haozhe	北斗	zh-CN	
dajie	北斗	zh-CN	
luoshaliya	罗莎莉亚	zh-CN	
xiunv	罗莎莉亚	zh-CN	
yanfei	烟绯	zh-CN	
lvshi	烟绯	zh-CN	
dianna	迪奥娜	zh-CN	
maoj	迪奥娜	zh-CN	
maoniang	迪奥娜	zh-CN	
shatang	砂糖	zh-CN	
yanjiuyuan	砂糖	zh-CN	
zaoyou	早柚	zh-CN	
ninja	早柚	zh-CN	
tuoma	托马	zh-CN	
